,Ticker,enterpriseToRevenue,profitMargins,enterpriseToEbitda,52WeekChange,forwardEps,sharesOutstanding,bookValue,sharesShort,sharesPercentSharesOut,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,lastSplitDate,lastSplitFactor,earningsQuarterlyGrowth,dateShortInterest,pegRatio,forwardPE,maxAge,shortPercentOfFloat,sharesShortPriorMonth,eps,Market Cap,PE,NI,EBIT
0,A,4.306,0.22254999,17.757,0.051262617,3.4,315992992,16.153,4636334,0.0146,1540944000,0.88238,1116999936,3.443,0.032832503,4.351514,0.0036,1604102400,1556582400,1.64,2019/4/15,315143330,1.327925,21610858496,2,2014/11/3,1000/1398,-0.112,1557878400,2.3,20.673529,1,0.0146,3687978,3.443000078,22211147776,20.415335,316000000,974000000
1,AAL,0.958,0.03215,7.364,-0.2998188,5.76,444835008,-1.432,20867364,0.0469,1546214400,0.07825,1438000000,3.118,0.032832503,,0.39758,1609372800,1553990400,4.06,2019/4/15,395889907,1.969488,42849300480,2,2013/12/9,1/0,0.164,1557878400,0.41,5.3402777,1,0.0561,23003563,3.118000085,13683125248,9.865298,1412000000,3757000000
2,AAP,1.428,0.04448,14.394,0.17042124,9.49,71326896,49.732,2867611,0.04,1546041600,1.01534,429620000,5.856,0.032832503,3.0869462,0.00324,1609200000,1555718400,3.07,2019/4/15,71009465,1.234403,13794003968,2,2005/9/26,2月3日,0.042,1557878400,1.09,16.177029,1,0.0471,2882176,5.855999999,10950105088,26.215847,423847000,712142000
3,AAPL,3.511,0.22117001,11.732,-0.005647659,12.78,4601079808,22.977,49550348,0.0108,1538179200,0.60946,57170001920,11.887,0.032832503,8.381425,0.00074,1601337600,1553904000,1.62,2019/4/15,4348475982,1.034907,9.07E+11,2,2014/6/9,1月7日,-0.164,1557878400,1.37,15.068858,1,0.0105,61003851,11.88700054,8.86E+11,16.200891,59531000000,70898000000
4,ABBV,4.507,0.16418,10.552,-0.22391498,9.42,1478329984,-5.294,21309313,0.014400001,1546214400,0.71891,5329999872,3.511,0.032832503,,0.00085,1609372800,1553990400,3.66,2019/4/15,1477134728,0.939385,1.47E+11,2,-,,-0.117,1557878400,1.16,8.16879,1,0.0163,27575807,3.51100013,1.14E+11,21.916832,5687000000,11911000000
5,ABC,0.111,0.00531,8.535,-0.043537974,7.37,210176992,13.899,7081809,0.0337,1538265600,0.67994004,929884032,4.299,0.032832503,6.0989995,0.27128,1601424000,1553990400,4.79,2019/4/15,152817559,1.223459,19429810176,2,2009/6/16,1月2日,-0.906,1557878400,1.58,11.502035,1,0.045700002,7027314,4.298999825,17816702976,19.71854,1658405000,1650952000
6,ABMD,15.071,0.33663,48.718,-0.3594845,5.85,45124700,20.763,2334856,0.0596,1553990400,0.89764,259016000,5.61,0.032832503,13.120935,0.04124,1617148800,1553990400,2.64,2019/4/15,44254273,1.164452,11595863040,2,2000/10/2,1月2日,1.007,1557878400,1.95,46.56923,1,,1982316,5.610000038,12293321728,48.561497,,
7,ABT,5.187,0.08534,21.87,0.2789482,3.6,1764179968,17.529,13613261,0.0077,1546214400,0.76492,2582000128,1.474,0.032832503,4.636317,0.00722,1609372800,1553990400,2.38,2019/4/15,1750649992,0.847546,1.59E+11,2,2013/1/2,4798/10000,0.608,1557878400,2.04,22.574999,1,0.007900001,13074097,1.474000006,1.43E+11,55.135685,2368000000,3922000000
8,ACN,2.758,0.10949001,16.869,0.12393236,7.96,637833024,20.907,6507155,0.010199999,1535673600,0.7246,4471712768,6.872,0.032832503,8.821926,0.00226,1598832000,1551312000,3.81,2019/4/15,636588804,1.087041,1.13E+11,2,2011/12/30,1月10日,0.302,1557878400,2.67,23.170855,1,0.010199999,4967598,6.87200002,1.18E+11,26.839348,4059907000,5841041000
9,ADBE,14.305,0.28077,42.077,0.108207226,9.69,487951008,20.208,4930215,0.0101,1543536000,0.88935,2681938944,5.39,0.032832503,13.872724,0.00276,1606694400,1551398400,2.12,2019/4/15,486433416,1.083378,1.37E+11,2,2005/5/24,1月2日,0.156,1557878400,1.53,28.930857,1,0.0101,4661147,5.390000179,1.37E+11,52.01113,2590774000,2840369000
